146位のチームA pt	2,232,449 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:20 集計時点
110位のチームA pt	2,511,913 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,800,280 pt
110位のチームD pt	3,061,916 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:21 集計時点
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,802,181 pt
110位のチームD pt	3,061,916 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日) 01:21 集計時点BY SKDN
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,802,181 pt
110位のチームD pt	3,061,916 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,410,220 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,551,488 pt
※10/30(日)01:21 集計時点
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,803,912 pt
110位のチームD pt	3,061,916 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,411,941 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,224,465 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,552,760 pt
※10/30(日)01:22 集計時点
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,804,778 pt
110位のチームD pt	3,061,916 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,411,941 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,226,681 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,552,760 pt
※10/30(日) 01:22 集計時点BY SKDN
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,431,139 pt
110位のチームC pt	2,804,778 pt
110位のチームD pt	3,061,916 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,411,941 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,226,681 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,552,760 pt
※10/30(日)01:22 集計時点
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,432,614 pt
110位のチームC pt	2,805,644 pt
110位のチームD pt	3,061,916 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,418,347 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,226,681 pt
110位のチームI pt	3,832,978 pt
110位のチームJ pt	3,552,760 pt
※10/30(日)01:23 集計時点
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,432,614 pt
110位のチームC pt	2,806,939 pt
110位のチームD pt	3,062,682 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,418,348 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,226,681 pt
110位のチームI pt	3,833,078 pt
110位のチームJ pt	3,552,760 pt
※10/30(日) 01:23 集計時点BY SKDN
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,432,614 pt
110位のチームC pt	2,806,939 pt
110位のチームD pt	3,062,682 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,418,348 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,226,681 pt
110位のチームI pt	3,833,078 pt
110位のチームJ pt	3,552,760 pt
※10/30(日)01:23 集計時点
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,432,614 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,063,903 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,421,438 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,226,681 pt
110位のチームI pt	3,833,079 pt
110位のチームJ pt	3,552,760 pt
※10/30(日)01:24 集計時点
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,433,752 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,063,903 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,424,992 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,229,651 pt
110位のチームI pt	3,833,079 pt
110位のチームJ pt	3,552,760 pt
※10/30(日) 01:25 集計時点BY SKDN
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,433,752 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,063,903 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,424,992 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,229,651 pt
110位のチームI pt	3,833,079 pt
110位のチームJ pt	3,552,760 pt
※10/30(日)01:25 集計時点
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,433,752 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,063,903 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,426,594 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,229,652 pt
110位のチームI pt	3,841,186 pt
110位のチームJ pt	3,552,760 pt
※10/30(日)01:25 集計時点
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,433,752 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,064,569 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,428,309 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,229,752 pt
110位のチームI pt	3,845,110 pt
110位のチームJ pt	3,552,760 pt
※10/30(日) 01:25 集計時点BY SKDN
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,433,752 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,064,569 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,428,309 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,229,752 pt
110位のチームI pt	3,845,110 pt
110位のチームJ pt	3,552,760 pt
※10/30(日)01:25 集計時点
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,433,752 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,064,569 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,432,305 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,229,753 pt
110位のチームI pt	3,845,741 pt
110位のチームJ pt	3,552,760 pt
※10/30(日)01:26 集計時点
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,433,752 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,064,569 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,433,803 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,229,753 pt
110位のチームI pt	3,845,742 pt
110位のチームJ pt	3,552,760 pt
※10/30(日) 01:26 集計時点BY SKDN
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,433,752 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,064,569 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,433,803 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,229,753 pt
110位のチームI pt	3,845,742 pt
110位のチームJ pt	3,552,760 pt
※10/30(日)01:26 集計時点
110位のチームA pt	2,511,916 pt
110位のチームB pt	4,438,397 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,064,569 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,433,803 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,229,753 pt
110位のチームI pt	3,847,897 pt
110位のチームJ pt	3,553,760 pt
※10/30(日)01:27 集計時点
110位のチームA pt	2,512,909 pt
110位のチームB pt	4,438,641 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,064,569 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,433,804 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,229,753 pt
110位のチームI pt	3,847,999 pt
110位のチームJ pt	3,553,760 pt
※10/30(日) 01:27 集計時点BY SKDN
110位のチームA pt	2,512,909 pt
110位のチームB pt	4,438,641 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,064,569 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,433,804 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,229,753 pt
110位のチームI pt	3,847,999 pt
110位のチームJ pt	3,553,760 pt
※10/30(日)01:27 集計時点
110位のチームA pt	2,512,909 pt
110位のチームB pt	4,440,433 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,064,569 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,441,893 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,229,754 pt
110位のチームI pt	3,847,999 pt
110位のチームJ pt	3,553,760 pt
※10/30(日)01:28 集計時点
110位のチームA pt	2,515,818 pt
110位のチームB pt	4,440,433 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,064,569 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,443,534 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,000 pt
110位のチームI pt	3,847,999 pt
110位のチームJ pt	3,553,760 pt
※10/30(日) 01:28 集計時点BY SKDN
110位のチームA pt	2,515,818 pt
110位のチームB pt	4,440,433 pt
110位のチームC pt	2,809,757 pt
110位のチームD pt	3,064,569 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,443,534 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,000 pt
110位のチームI pt	3,847,999 pt
110位のチームJ pt	3,553,760 pt
※10/30(日)01:28 集計時点
110位のチームA pt	2,518,976 pt
110位のチームB pt	4,440,433 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,064,569 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,445,029 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,001 pt
110位のチームI pt	3,850,065 pt
110位のチームJ pt	3,553,760 pt
※10/30(日)01:29 集計時点
110位のチームA pt	2,523,220 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,064,569 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,445,055 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,850,167 pt
110位のチームJ pt	3,553,760 pt
※10/30(日) 01:30 集計時点BY SKDN
110位のチームA pt	2,523,220 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,064,569 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,445,055 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,850,167 pt
110位のチームJ pt	3,553,760 pt
※10/30(日)01:30 集計時点
110位のチームA pt	2,524,556 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,065,652 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,445,055 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,850,269 pt
110位のチームJ pt	3,553,760 pt
※10/30(日)01:30 集計時点
110位のチームA pt	2,524,557 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,065,652 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,445,055 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,850,269 pt
110位のチームJ pt	3,553,760 pt
※10/30(日) 01:30 集計時点BY SKDN
110位のチームA pt	2,524,557 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,065,652 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,445,055 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,850,269 pt
110位のチームJ pt	3,553,760 pt
※10/30(日)01:30 集計時点
110位のチームA pt	2,524,557 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,065,652 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,445,055 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,850,369 pt
110位のチームJ pt	3,553,760 pt
※10/30(日)01:31 集計時点
110位のチームA pt	2,527,565 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,065,652 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,445,055 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,851,678 pt
110位のチームJ pt	3,560,464 pt
※10/30(日) 01:31 集計時点BY SKDN
110位のチームA pt	2,527,565 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,065,652 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,445,055 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,851,678 pt
110位のチームJ pt	3,560,464 pt
※10/30(日)01:31 集計時点
110位のチームA pt	2,528,901 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,065,652 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,445,055 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,851,678 pt
110位のチームJ pt	3,562,708 pt
※10/30(日)01:32 集計時点
110位のチームA pt	2,531,597 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,065,652 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,445,055 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,851,678 pt
110位のチームJ pt	3,564,121 pt
※10/30(日) 01:32 集計時点BY SKDN
110位のチームA pt	2,531,597 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,065,652 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,445,055 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,851,678 pt
110位のチームJ pt	3,564,121 pt
※10/30(日)01:32 集計時点
110位のチームA pt	2,531,597 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,068,685 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,451,716 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,851,678 pt
110位のチームJ pt	3,572,824 pt
※10/30(日)01:33 集計時点
110位のチームA pt	2,531,597 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,068,685 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,452,245 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,852,728 pt
110位のチームJ pt	3,573,099 pt
※10/30(日) 01:33 集計時点BY SKDN
110位のチームA pt	2,531,597 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,068,685 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,452,245 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,852,728 pt
110位のチームJ pt	3,573,099 pt
※10/30(日)01:33 集計時点
110位のチームA pt	2,531,597 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,068,685 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,452,245 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,852,729 pt
110位のチームJ pt	3,574,099 pt
※10/30(日)01:34 集計時点
110位のチームA pt	2,531,597 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,068,685 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,452,245 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,852,730 pt
110位のチームJ pt	3,574,099 pt
※10/30(日) 01:34 集計時点BY SKDN
110位のチームA pt	2,531,597 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,068,685 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,452,245 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,852,730 pt
110位のチームJ pt	3,574,099 pt
※10/30(日)01:34 集計時点
110位のチームA pt	2,531,597 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,068,956 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,452,245 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
110位のチームI pt	3,852,830 pt
110位のチームJ pt	3,576,314 pt
※10/30(日)01:35 集計時点
110位のチームA pt	2,531,597 pt
110位のチームB pt	4,440,898 pt
110位のチームC pt	2,813,159 pt
110位のチームD pt	3,070,491 pt
110位のチームE pt	3,380,795 pt
110位のチームF pt	5,455,767 pt
110位のチームG pt	2,449,303 pt
110位のチームH pt	3,233,591 pt
